Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-05 15:36:52,2024-03-05 15:36:59,6.765s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":Conversion_Fee]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:59,2024-03-05 15:36:59,0.119s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Conversion""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:59,2024-03-05 15:36:59,0.167s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount received""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:59,2024-03-05 15:36:59,0.153s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD "" + roundedNumber1]), 5, CONTINUE_ON_FAILURE)",,Verify the Conversion Amount USD,,2024-03-05 15:36:59,2024-03-05 15:37:00,0.158s,PASSED
takeScreenshot(),,,,2024-03-05 15:37:00,2024-03-05 15:37:00,0.461s,PASSED
"tap(findTestObject(""Market Order Page/android.widget.ImageViewBack_Button""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:00,2024-03-05 15:37:00,0.137s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:00,2024-03-05 15:37:01,1.105s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:01,2024-03-05 15:37:01,0.092s,PASSED
takeScreenshot(),,,,2024-03-05 15:37:01,2024-03-05 15:37:02,0.394s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Done""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:02,2024-03-05 15:37:02,0.131s,PASSED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/SOW2 - Current account to G1A Account,,,,2024-03-05 15:37:02,2024-03-05 15:38:52,1m - 50.479s,FAILED
a = 8,,,,2024-03-05 15:37:02,2024-03-05 15:37:02,0.003s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":findTestData(""Username_Password"").getValue(""G1A_Account_No"", a)]), 0, CONTINUE_ON_FAILURE)",,Select G1A Account,,2024-03-05 15:37:02,2024-03-05 15:37:03,0.585s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Convert Currency""]), 0, CONTINUE_ON_FAILURE)",,Tap on Convert Currency,,2024-03-05 15:37:03,2024-03-05 15:37:03,0.116s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-03-05 15:37:03,2024-03-05 15:37:33,30.098s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-05 15:37:33,2024-03-05 15:37:33,0.002s,PASSED
else,,,,2024-03-05 15:37:33,2024-03-05 15:37:33,0.000s,PASSED
delay(5),,,,2024-03-05 15:37:33,2024-03-05 15:37:38,5.023s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-03-05 15:37:38,2024-03-05 15:37:38,0.283s,PASSED
"digits = ""1000""",,,,2024-03-05 15:37:38,2024-03-05 15:37:38,0.000s,PASSED
