Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD "" + roundedNumber1]), 5, CONTINUE_ON_FAILURE)",,Verify the Conversion Amount USD,,2024-03-07 11:48:52,2024-03-07 11:48:52,0.100s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction type""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:48:52,2024-03-07 11:48:53,0.694s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Conversion""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:48:53,2024-03-07 11:48:53,0.102s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms & Conditions for this transfer.""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:48:53,2024-03-07 11:48:58,5.131s,FAILED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-03-07 11:48:58,2024-03-07 11:48:58,0.434s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.view.View - I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms  Conditions for this transfer""), 0, CONTINUE_ON_FAILURE)",,Confirm Term & Condition,,2024-03-07 11:48:58,2024-03-07 11:48:59,0.368s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-07 11:48:59,2024-03-07 11:49:05,6.619s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Confirm""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:49:05,2024-03-07 11:49:06,0.412s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:49:06,2024-03-07 11:49:13,6.858s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:49:13,2024-03-07 11:49:13,0.073s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Reference ID""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:49:13,2024-03-07 11:49:13,0.078s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Order ID""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:49:13,2024-03-07 11:49:13,0.070s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Date & time""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:49:13,2024-03-07 11:49:13,0.082s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Converted from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:49:13,2024-03-07 11:49:13,0.072s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount received""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:49:13,2024-03-07 11:49:13,0.069s,PASSED
CurrentDate = Validation.datetime(),,,,2024-03-07 11:49:13,2024-03-07 11:49:13,0.064s,PASSED
"comment(""The Current Date is "" + CurrentDate)",,,,2024-03-07 11:49:13,2024-03-07 11:49:13,0.002s,PASSED
