Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:48:59,2024-03-05 13:48:59,0.102s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Reference ID""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:48:59,2024-03-05 13:48:59,0.106s,PASSED
"reference_id = getText(findTestObject(""Market Order Page/android.widget.TextView - Reference ID""), 0, CONTINUE_ON_FAILURE)",,Get ReferenceID,,2024-03-05 13:48:59,2024-03-05 13:48:59,0.080s,PASSED
"comment(""The Reference Number"" + reference_id)",,,,2024-03-05 13:48:59,2024-03-05 13:48:59,0.002s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Done""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:48:59,2024-03-05 13:49:00,0.090s,PASSED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-03-05 13:49:00,2024-03-05 13:49:00,0.484s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Share Receipt""]), 0, CONTINUE_ON_FAILURE)",,Tap Share receipt,,2024-03-05 13:49:00,2024-03-05 13:49:00,0.149s,PASSED
delay(5),,,,2024-03-05 13:49:00,2024-03-05 13:49:05,5.006s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Exchange""]), 5, CONTINUE_ON_FAILURE)",,Wait for Share Receipt to show,,2024-03-05 13:49:05,2024-03-05 13:49:05,0.145s,PASSED
delay(5),,,,2024-03-05 13:49:05,2024-03-05 13:49:10,5.012s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Completed""]), 5, CONTINUE_ON_FAILURE)",,Receipt show successful,,2024-03-05 13:49:10,2024-03-05 13:49:11,0.456s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Exchange""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:49:11,2024-03-05 13:49:11,0.109s,PASSED
takeScreenshot(),,,,2024-03-05 13:49:11,2024-03-05 13:49:11,0.461s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-05 13:49:11,2024-03-05 13:49:18,6.706s,PASSED
takeScreenshot(),,,,2024-03-05 13:49:18,2024-03-05 13:49:19,0.489s,PASSED
"tap(findTestObject(""Market Order Page/android.widget.ImageViewBack_Button""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:49:19,2024-03-05 13:49:19,0.219s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:49:19,2024-03-05 13:49:20,1.054s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:49:20,2024-03-05 13:49:20,0.139s,PASSED
takeScreenshot(),,,,2024-03-05 13:49:20,2024-03-05 13:49:20,0.423s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Done""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:49:20,2024-03-05 13:49:21,0.145s,PASSED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/SOW2- RETAILFX-1699 Stuff/SOW 2 Staff - More then 10k MYR to USD,,,,2024-03-05 13:49:21,2024-03-05 13:51:03,1m - 42.153s,PASSED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-03-05 13:49:21,2024-03-05 13:49:28,6.796s,PASSED
a = 5,,,,2024-03-05 13:49:28,2024-03-05 13:49:28,0.002s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Convert Currency""]), 0, CONTINUE_ON_FAILURE)",,Tap on Convert Currency,,2024-03-05 13:49:28,2024-03-05 13:49:29,1.351s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,,,2024-03-05 13:49:29,2024-03-05 13:49:59,30.109s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-05 13:49:59,2024-03-05 13:49:59,0.007s,PASSED
else,,,,2024-03-05 13:49:59,2024-03-05 13:49:59,0.001s,PASSED
delay(5),,,,2024-03-05 13:49:59,2024-03-05 13:50:04,5.028s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-03-05 13:50:04,2024-03-05 13:50:05,0.275s,PASSED
"digits = ""1100000""",,,,2024-03-05 13:50:05,2024-03-05 13:50:05,0.000s,PASSED
currency_Numpad(digits),,,,2024-03-05 13:50:05,2024-03-05 13:50:05,0.006s,PASSED
digit_length = digits.length(),,,,2024-03-05 13:50:05,2024-03-05 13:50:05,0.001s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-05 13:50:05,2024-03-05 13:50:11,5.801s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-05 13:50:11,2024-03-05 13:50:11,0.697s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-03-05 13:50:11,2024-03-05 13:50:16,4.855s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 0, CONTINUE_ON_FAILURE)",,Verify Exchange Rate,,2024-03-05 13:50:16,2024-03-05 13:50:17,0.946s,PASSED
takeScreenshot(),,,,2024-03-05 13:50:17,2024-03-05 13:50:18,0.458s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Next""]), 0, CONTINUE_ON_FAILURE)",,Tap Next,,2024-03-05 13:50:18,2024-03-05 13:50:18,0.159s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 2 of 2""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:50:18,2024-03-05 13:50:18,0.771s,PASSED
"comment(""Account Selection Page"")",,,,2024-03-05 13:50:18,2024-03-05 13:50:18,0.008s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 2 of 2""]), 0, CONTINUE_ON_FAILURE)",,Verify The labe Step 2 of 2,,2024-03-05 13:50:18,2024-03-05 13:50:19,0.564s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-05 13:50:19,2024-03-05 13:50:26,6.654s,PASSED
takeScreenshot(),,,,2024-03-05 13:50:26,2024-03-05 13:50:26,0.452s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Get Quote""]), 0, CONTINUE_ON_FAILURE)",,Tap to get qoute,,2024-03-05 13:50:26,2024-03-05 13:50:26,0.205s,PASSED
"comment(""Confirmation Page"")",,,,2024-03-05 13:50:26,2024-03-05 13:50:26,0.006s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Confirmation""]), 0, CONTINUE_ON_FAILURE)",,Wait for confirmation page to show,,2024-03-05 13:50:26,2024-03-05 13:50:28,1.680s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer from""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:50:28,2024-03-05 13:50:29,0.700s,PASSED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-03-05 13:50:29,2024-03-05 13:50:29,0.472s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.view.View - I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms  Conditions for this transfer""), 0, CONTINUE_ON_FAILURE)",,Confirm Term & Condition,,2024-03-05 13:50:29,2024-03-05 13:50:30,0.621s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-05 13:50:30,2024-03-05 13:50:36,6.599s,PASSED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-03-05 13:50:36,2024-03-05 13:50:37,0.422s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Confirm""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:50:37,2024-03-05 13:50:37,0.146s,PASSED
"comment(""Transaction Successful Page"")",,,,2024-03-05 13:50:37,2024-03-05 13:50:37,0.001s,PASSED
